ID,Script7,Threshold,Lower Limit,Upper Limit,Train Success,Test Success,Total Success
03-09-2014_19-07-36,Script6,0.15,165,900,93.3702,87.2,91.7864
03-09-2014_21-33-19,Script6,0.45,65,2500,93.2749,86.3158,91.762
03-09-2014_19-02-32,Script6,0.15,145,900,93.7662,85.3659,91.7323
03-09-2014_17-30-06,Script6,0.05,85,1700,93.7126,86.4,91.7211
03-09-2014_19-12-38,Script6,0.15,185,900,93.3884,86.1111,91.7197
03-09-2014_17-36-31,Script6,0.05,105,2100,94.9206,80.8511,91.687
03-09-2014_17-15-39,Script6,0.05,45,1300,91.8782,90.9091,91.6667
03-09-2014_20-13-24,Script6,0.25,145,1300,92.0988,90.2439,91.6667
03-09-2014_21-31-59,Script6,0.45,65,1300,93.2945,86.1386,91.6667
03-09-2014_18-00-42,Script6,0.05,185,2100,91.8367,91,91.6244
03-09-2014_20-20-49,Script6,0.25,165,2900,93.5733,85.2459,91.5851
03-09-2014_18-00-18,Script6,0.05,185,1700,94.1176,84.0708,91.5138
03-09-2014_20-12-44,Script6,0.25,145,900,94.0191,83.0645,91.5129
03-09-2014_17-48-32,Script6,0.05,145,2100,93.2692,85.2273,91.5
03-09-2014_20-15-46,Script6,0.25,145,2900,94.1463,82.6772,91.4339
03-09-2014_20-16-19,Script6,0.25,145,3300,94.4862,81.8841,91.2477
03-09-2014_20-20-00,Script6,0.25,165,2100,91.7989,89.4737,91.1937
03-09-2014_19-07-12,Script6,0.15,165,500,92.7374,86.4407,91.1765
03-09-2014_21-34-04,Script6,0.45,65,3300,92.4012,87.037,91.0755
03-09-2014_20-09-32,Script6,0.25,125,2900,93.8776,82.2695,91.0653
03-09-2014_19-08-23,Script6,0.15,165,1700,93.1873,83.7209,90.9259
03-09-2014_19-02-56,Script6,0.15,145,1300,92.9134,84.8,90.9091
03-09-2014_19-03-32,Script6,0.15,145,1700,92.9134,84.8,90.9091
03-09-2014_20-14-39,Script6,0.25,145,2100,92.233,86.4,90.8752
03-09-2014_20-17-16,Script6,0.25,145,3700,93.3842,84.0278,90.8752
03-09-2014_17-42-44,Script6,0.05,125,2100,91.9094,87.3684,90.8416
03-09-2014_19-01-57,Script6,0.15,145,500,90.6336,91.0448,90.7445
03-09-2014_20-11-09,Script6,0.25,125,3700,93.5268,81.3433,90.7216
03-09-2014_17-15-03,Script6,0.05,45,900,92.1875,86.0465,90.6433
03-09-2014_17-23-08,Script6,0.05,65,1700,91.7614,86.9231,90.4564
03-09-2014_20-06-30,Script6,0.25,125,1300,91.7051,86.3309,90.4014
03-09-2014_20-12-17,Script6,0.25,145,500,93.5897,81.5603,90.3955
03-09-2014_17-30-30,Script6,0.05,85,2100,93.0693,83.1858,90.3846
03-09-2014_20-51-17,Script6,0.35,65,1700,91.9708,85.6115,90.3636
03-09-2014_19-44-51,Script6,0.25,65,100,93.0288,80.5085,90.2622
03-09-2014_18-51-15,Script6,0.15,105,1700,90.8705,88.0795,90.1929
03-09-2014_18-55-49,Script6,0.15,125,500,92.4757,82.8125,90.1852
03-09-2014_20-53-40,Script6,0.35,65,3300,92.399,82.9457,90.1818
03-09-2014_19-14-02,Script6,0.15,185,2100,91.6049,85.6061,90.1304
03-09-2014_20-15-08,Script6,0.25,145,2500,91.4573,86.3309,90.1304
03-09-2014_21-26-52,Script6,0.45,45,1300,92.1875,82.7273,90.081
03-09-2014_20-13-52,Script6,0.25,145,1700,91.8159,85.2113,90.0563
03-09-2014_20-41-28,Script6,0.35,45,100,91.5633,85.7143,90.0552
03-09-2014_21-25-43,Script6,0.45,45,500,91.5423,84.5455,90.0391
03-09-2014_20-05-10,Script6,0.25,125,500,92.0561,83.8926,89.948
03-09-2014_21-24-44,Script6,0.45,25,3700,89.7311,90.4762,89.9065
03-09-2014_21-27-26,Script6,0.45,45,1700,91.6442,84.5528,89.8785
03-09-2014_21-28-01,Script6,0.45,45,2100,92.9348,80.9524,89.8785
03-09-2014_19-16-28,Script6,0.15,185,3700,92.0833,82.0144,89.8223
03-09-2014_20-52-28,Script6,0.35,65,2500,92.1182,83.3333,89.8182
03-09-2014_19-03-56,Script6,0.15,145,2100,89.8851,89.2086,89.7213
03-09-2014_20-08-01,Script6,0.25,125,2100,92.1114,82.7815,89.6907
03-09-2014_20-08-52,Script6,0.25,125,2500,91.4943,84.3537,89.6907
03-09-2014_20-10-17,Script6,0.25,125,3300,91.3832,84.3972,89.6907
03-09-2014_21-29-44,Script6,0.45,45,3300,92.1833,82.1138,89.6761
03-09-2014_20-07-12,Script6,0.25,125,1700,90.7193,86.3946,89.6194
03-09-2014_17-16-15,Script6,0.05,45,1700,90.75,85.3211,89.5874
03-09-2014_21-24-09,Script6,0.45,25,3300,90.8189,85.6061,89.5327
03-09-2014_19-05-46,Script6,0.15,145,3300,89.759,88.6076,89.4817
03-09-2014_20-49-30,Script6,0.35,65,500,92.0746,81.4286,89.4552
03-09-2014_20-53-04,Script6,0.35,65,2900,92.9782,78.8321,89.4545
03-09-2014_19-10-12,Script6,0.15,165,2900,90.2954,86.9565,89.4488
03-09-2014_20-05-50,Script6,0.25,125,900,90.6323,86.25,89.4378
03-09-2014_18-58-13,Script6,0.15,125,2100,91.3525,83.6364,89.2857
03-09-2014_20-54-15,Script6,0.35,65,3700,91.0194,84.058,89.2727
03-09-2014_17-23-32,Script6,0.05,65,2100,90.5882,84,89.0909
03-09-2014_21-11-39,Script6,0.45,5,100,91.6667,81.2121,89.0882
