ID,Script7,Threshold,Lower Limit,Upper Limit,Train Success,Test Success,Total Success
03-10-2014_01-50-01,Script7,0.15,25,100,88.6824,79.3103,86.2893
03-10-2014_01-48-29,Script7,0.15,5,3300,88.6266,78.6441,86.2266
03-10-2014_01-53-00,Script7,0.15,25,1700,89.5197,76.0684,86.1021
03-10-2014_01-54-37,Script7,0.15,25,2500,88.0577,79.7468,86.0861
03-10-2014_01-57-06,Script7,0.15,25,3700,89.396,75.5906,85.8859
03-10-2014_02-57-51,Script7,0.25,45,2500,89.322,75.3769,85.8048
03-10-2014_02-56-17,Script7,0.25,45,1700,88.6248,77.0408,85.7325
03-10-2014_02-03-49,Script7,0.15,45,3700,88.8244,75.3623,85.7143
03-10-2014_01-56-16,Script7,0.15,25,3300,88.5224,76.7635,85.6857
03-10-2014_02-59-24,Script7,0.25,45,3300,88.6598,77.2947,85.6781
03-10-2014_01-51-24,Script7,0.15,25,900,88.1481,78.1116,85.5727
03-10-2014_02-03-01,Script7,0.15,45,3300,88.9387,75.3304,85.4911
03-10-2014_01-53-49,Script7,0.15,25,2100,88.8092,75.5365,85.4839
03-10-2014_02-37-08,Script7,0.25,5,100,88.5167,75.9582,85.3072
03-10-2014_01-50-36,Script7,0.15,25,500,87.4636,78.3019,85.3007
03-10-2014_01-46-18,Script7,0.15,5,2100,87.5,78.1046,85.1082
03-10-2014_01-55-27,Script7,0.15,25,2900,88.6024,75.1908,85.0851
03-10-2014_01-45-26,Script7,0.15,5,1700,87.0575,78.7375,84.9793
03-10-2014_02-41-24,Script7,0.25,5,2100,86.9021,78.8194,84.9057
03-10-2014_02-44-50,Script7,0.25,5,3700,87.1005,78.2759,84.9057
03-10-2014_02-37-59,Script7,0.25,5,500,87.3348,75.5474,84.6024
03-10-2014_02-43-59,Script7,0.25,5,3300,87.5283,75,84.4768
03-10-2014_02-40-34,Script7,0.25,5,1700,87.256,75.2577,84.2513
03-10-2014_02-42-16,Script7,0.25,5,2500,87.5862,74.3243,84.2196
03-10-2014_01-27-23,Script7,0.05,125,3700,86.3402,77.5194,84.1393
03-10-2014_02-43-08,Script7,0.25,5,2900,86.863,75.6184,84.1338
03-10-2014_01-21-48,Script7,0.05,105,3300,88.0102,71.4286,83.9768
03-10-2014_02-53-21,Script7,0.25,25,3700,86.6573,75.4386,83.9362
03-10-2014_01-26-33,Script7,0.05,125,3300,87.1261,74.3396,83.8491
03-10-2014_02-39-42,Script7,0.25,5,1300,86.2613,75.8993,83.7907
03-10-2014_02-38-51,Script7,0.25,5,900,86.2187,76.4901,83.7288
03-10-2014_02-51-32,Script7,0.25,25,2900,86.6385,74.6725,83.7234
03-10-2014_01-38-26,Script7,0.05,185,2500,87.3016,73.5075,83.6914
03-10-2014_01-25-44,Script7,0.05,125,2900,87.1928,73.1801,83.6557
03-10-2014_02-49-43,Script7,0.25,25,2100,85.9944,76.1062,83.617
03-10-2014_02-50-43,Script7,0.25,25,2500,85.9944,76.1062,83.617
03-10-2014_01-40-05,Script7,0.05,185,3300,88.0364,69.8039,83.4961
03-10-2014_01-41-43,Script7,0.15,5,100,86.1206,75.7475,83.4746
03-10-2014_02-47-05,Script7,0.25,25,900,86.5385,73.5683,83.4555
03-10-2014_01-20-09,Script7,0.05,105,2500,86.1935,74.7126,83.3012
03-10-2014_01-30-07,Script7,0.05,145,2900,86.9792,72.5191,83.301
03-10-2014_01-35-43,Script7,0.05,165,3300,87.8049,68.9516,83.2522
03-10-2014_01-31-08,Script7,0.05,145,3300,85.0765,77.2358,83.2039
03-10-2014_01-11-10,Script7,0.05,65,2900,86.1728,73.2794,83.1599
03-10-2014_01-44-33,Script7,0.15,5,1300,87.4172,70.297,83.1266
03-10-2014_01-40-54,Script7,0.05,185,3700,85.4734,75.8893,83.1055
03-10-2014_02-52-20,Script7,0.25,25,3300,87.2045,69.6833,83.0851
03-10-2014_01-17-02,Script7,0.05,85,3300,86.7704,72.2222,82.9971
03-10-2014_01-06-51,Script7,0.05,45,3300,85.1716,76.2264,82.9787
03-10-2014_00-59-07,Script7,0.05,25,2500,85.6971,74.5387,82.9556
03-10-2014_01-42-36,Script7,0.15,5,500,85.7143,74.5033,82.9368
03-10-2014_01-31-58,Script7,0.05,145,3700,86.0465,73.4375,82.9126
03-10-2014_01-34-04,Script7,0.05,165,2500,86.0465,73.4375,82.9126
03-10-2014_01-34-54,Script7,0.05,165,2900,86.0465,73.4375,82.9126
03-10-2014_01-36-33,Script7,0.05,165,3700,86.0465,73.4375,82.9126
03-10-2014_01-39-15,Script7,0.05,185,2900,86.0465,73.4375,82.9126
03-10-2014_01-10-21,Script7,0.05,65,2500,86.9123,71.1111,82.8761
03-10-2014_01-16-00,Script7,0.05,85,2900,86.7925,69.9187,82.805
03-10-2014_01-24-54,Script7,0.05,125,2500,86.6925,71.1538,82.7853
03-10-2014_02-46-17,Script7,0.25,25,500,86.1264,71.8062,82.7225
03-10-2014_01-04-45,Script7,0.05,45,2500,86.3804,71.4286,82.7012
03-10-2014_01-01-00,Script7,0.05,25,3300,84.4093,77.6596,82.6836
03-10-2014_01-22-38,Script7,0.05,105,3700,85.1948,75.188,82.6255
03-10-2014_01-13-03,Script7,0.05,65,3700,85.2684,74.2188,82.5922
03-10-2014_02-47-54,Script7,0.25,25,1300,86.4598,70.5628,82.5532
03-10-2014_01-20-58,Script7,0.05,105,2900,86.445,70.4724,82.529
03-10-2014_01-12-00,Script7,0.05,65,3300,85.6242,73.1061,82.4976
03-10-2014_02-48-42,Script7,0.25,25,1700,85.6734,73.1092,82.4786
03-10-2014_01-07-53,Script7,0.05,45,3700,85.4523,73.0038,82.4237
03-10-2014_01-15-10,Script7,0.05,85,2500,86.3464,70.6767,82.403
03-10-2014_01-29-18,Script7,0.05,145,2500,85.5128,72,82.233
03-10-2014_00-54-56,Script7,0.05,5,3300,85.9375,71.2281,82.1844
03-10-2014_01-43-28,Script7,0.15,5,900,85.3685,72.4919,82.1018
03-10-2014_01-17-52,Script7,0.05,85,3700,85.5128,71.6475,82.0365
03-10-2014_00-53-53,Script7,0.05,5,2900,84.2907,74.6212,82.0054
03-10-2014_00-59-57,Script7,0.05,25,2900,85.4392,71.3235,81.9583
03-10-2014_01-05-48,Script7,0.05,45,2900,84.1849,73.7452,81.6836
03-10-2014_01-02-03,Script7,0.05,25,3700,85.2871,70.0375,81.5956
03-10-2014_00-55-59,Script7,0.05,5,3700,84.2926,72.4382,81.2892
03-10-2014_00-52-50,Script7,0.05,5,2500,84.5519,69.5167,80.9311
